_c0,Timestamp,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken,TimeTakenNumeric,LogLevelIndex,features,prediction,distance
1609,2023-11-20T08:41:12.788+03:00,DEBUG,ServiceC,Algorithm Steps,2197,User64,192.168.1.195,42ms,42.0,1.0,"[42.0,1.0]",2,14.545944063001961
1642,2023-11-20T08:41:13.264+03:00,ERROR,ServiceC,Critical Errors,3781,User2,192.168.1.140,100ms,100.0,3.0,"[100.0,3.0]",0,14.075011108861483
1650,2023-11-20T08:41:13.372+03:00,WARNING,ServiceD,Resource Warnings,3985,User61,192.168.1.54,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
1683,2023-11-20T08:41:13.870+03:00,WARNING,ServiceD,Performance Warnings,4936,User41,192.168.1.51,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
1690,2023-11-20T08:41:13.956+03:00,INFO,ServiceB,Status Updates,2739,User86,192.168.1.101,42ms,42.0,2.0,"[42.0,2.0]",2,14.538569956315584
1707,2023-11-20T08:41:14.168+03:00,WARNING,ServiceC,Input Validation Warnings,3481,User91,192.168.1.186,71ms,71.0,0.0,"[71.0,0.0]",2,14.555743473419305
1715,2023-11-20T08:41:14.279+03:00,WARNING,ServiceC,Input Validation Warnings,8209,User86,192.168.1.80,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
1734,2023-11-20T08:41:14.540+03:00,WARNING,ServiceA,Performance Warnings,2428,User75,192.168.1.162,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
1747,2023-11-20T08:41:14.728+03:00,FATAL,ServiceC,Crashes,1777,User8,192.168.1.165,100ms,100.0,4.0,"[100.0,4.0]",0,14.208104474649751
1761,2023-11-20T08:41:14.917+03:00,WARNING,ServiceC,Performance Warnings,6884,User27,192.168.1.48,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
1848,2023-11-20T08:41:16.122+03:00,FATAL,ServiceD,Crashes,1232,User26,192.168.1.18,40ms,40.0,4.0,"[40.0,4.0]",1,14.600233301509055
1862,2023-11-20T08:41:16.306+03:00,WARNING,ServiceD,Resource Warnings,1496,User19,192.168.1.80,12ms,12.0,0.0,"[12.0,0.0]",1,13.691549639533479
1954,2023-11-20T08:41:17.516+03:00,FATAL,ServiceB,Crashes,2848,User30,192.168.1.246,71ms,71.0,4.0,"[71.0,4.0]",2,14.663279947773933
1961,2023-11-20T08:41:17.597+03:00,ERROR,ServiceC,Database Errors,8733,User56,192.168.1.100,10ms,10.0,3.0,"[10.0,3.0]",1,15.657711575557943
1987,2023-11-20T08:41:17.971+03:00,INFO,ServiceD,Status Updates,7978,User42,192.168.1.123,71ms,71.0,2.0,"[71.0,2.0]",2,14.47206700666456
2001,2023-11-20T08:41:18.160+03:00,WARNING,ServiceD,Resource Warnings,4235,User28,192.168.1.62,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
2005,2023-11-20T08:41:18.188+03:00,WARNING,ServiceD,Resource Warnings,1212,User40,192.168.1.62,100ms,100.0,0.0,"[100.0,0.0]",0,14.100108246769237
2012,2023-11-20T08:41:18.300+03:00,INFO,ServiceA,Status Updates,5094,User16,192.168.1.214,11ms,11.0,2.0,"[11.0,2.0]",1,14.601301757387434
2034,2023-11-20T08:41:18.600+03:00,WARNING,ServiceD,Resource Warnings,3565,User21,192.168.1.207,12ms,12.0,0.0,"[12.0,0.0]",1,13.691549639533479
2112,2023-11-20T08:41:19.720+03:00,DEBUG,ServiceB,SQL Queries,7569,User2,192.168.1.195,72ms,72.0,1.0,"[72.0,1.0]",0,14.006649610212765
2179,2023-11-20T08:41:20.671+03:00,WARNING,ServiceC,Resource Warnings,1117,User66,192.168.1.225,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
2210,2023-11-20T08:41:21.132+03:00,WARNING,ServiceA,Input Validation Warnings,1888,User19,192.168.1.197,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
2227,2023-11-20T08:41:21.368+03:00,FATAL,ServiceA,Crashes,8778,User91,192.168.1.103,100ms,100.0,4.0,"[100.0,4.0]",0,14.208104474649751
2239,2023-11-20T08:41:21.545+03:00,ERROR,ServiceD,Database Errors,2171,User40,192.168.1.100,12ms,12.0,3.0,"[12.0,3.0]",1,13.666719417914823
2247,2023-11-20T08:41:21.665+03:00,ERROR,ServiceA,Critical Errors,5231,User54,192.168.1.49,11ms,11.0,3.0,"[11.0,3.0]",1,14.661909006527276
2331,2023-11-20T08:41:22.865+03:00,ERROR,ServiceA,Critical Errors,5325,User5,192.168.1.215,10ms,10.0,3.0,"[10.0,3.0]",1,15.657711575557943
2332,2023-11-20T08:41:22.880+03:00,WARNING,ServiceC,Resource Warnings,6239,User51,192.168.1.88,72ms,72.0,0.0,"[72.0,0.0]",0,14.086232223532498
2361,2023-11-20T08:41:23.281+03:00,DEBUG,ServiceA,Algorithm Steps,8780,User75,192.168.1.3,40ms,40.0,1.0,"[40.0,1.0]",1,14.416869436264353
2401,2023-11-20T08:41:23.832+03:00,WARNING,ServiceA,Resource Warnings,3553,User94,192.168.1.24,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
2403,2023-11-20T08:41:23.863+03:00,ERROR,ServiceC,Database Errors,9216,User42,192.168.1.228,72ms,72.0,3.0,"[72.0,3.0]",0,14.0611103188635
2504,2023-11-20T08:41:25.322+03:00,FATAL,ServiceA,Data Corruption,8663,User77,192.168.1.228,40ms,40.0,4.0,"[40.0,4.0]",1,14.600233301509055
2519,2023-11-20T08:41:25.516+03:00,WARNING,ServiceB,Performance Warnings,8322,User57,192.168.1.36,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
2551,2023-11-20T08:41:25.963+03:00,FATAL,ServiceA,Crashes,4725,User34,192.168.1.35,40ms,40.0,4.0,"[40.0,4.0]",1,14.600233301509055
2587,2023-11-20T08:41:26.501+03:00,WARNING,ServiceD,Resource Warnings,5098,User60,192.168.1.64,43ms,43.0,0.0,"[43.0,0.0]",2,13.628368708355834
2666,2023-11-20T08:41:27.590+03:00,WARNING,ServiceC,Performance Warnings,7961,User47,192.168.1.79,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
2671,2023-11-20T08:41:27.666+03:00,DEBUG,ServiceD,Trace Information,2432,User69,192.168.1.1,41ms,41.0,1.0,"[41.0,1.0]",1,15.416023101780098
2731,2023-11-20T08:41:28.515+03:00,FATAL,ServiceA,Data Corruption,6739,User1,192.168.1.214,70ms,70.0,4.0,"[70.0,4.0]",2,13.677657188611597
2752,2023-11-20T08:41:28.831+03:00,DEBUG,ServiceB,File I/O,1236,User1,192.168.1.162,72ms,72.0,1.0,"[72.0,1.0]",0,14.006649610212765
2755,2023-11-20T08:41:28.878+03:00,DEBUG,ServiceC,File I/O,3800,User89,192.168.1.171,10ms,10.0,1.0,"[10.0,1.0]",1,15.608228803184579
2773,2023-11-20T08:41:29.116+03:00,DEBUG,ServiceA,Algorithm Steps,9081,User27,192.168.1.45,72ms,72.0,1.0,"[72.0,1.0]",0,14.006649610212765
2807,2023-11-20T08:41:29.577+03:00,WARNING,ServiceA,Performance Warnings,4333,User5,192.168.1.174,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
2833,2023-11-20T08:41:29.944+03:00,WARNING,ServiceA,Performance Warnings,6635,User37,192.168.1.37,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
2840,2023-11-20T08:41:30.056+03:00,DEBUG,ServiceC,File I/O,7114,User67,192.168.1.35,100ms,100.0,1.0,"[100.0,1.0]",0,14.020604395624247
2848,2023-11-20T08:41:30.158+03:00,INFO,ServiceB,Startup Messages,3456,User99,192.168.1.42,71ms,71.0,2.0,"[71.0,2.0]",2,14.47206700666456
2887,2023-11-20T08:41:30.726+03:00,WARNING,ServiceA,Performance Warnings,6755,User31,192.168.1.76,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
3023,2023-11-20T08:41:32.670+03:00,DEBUG,ServiceD,Algorithm Steps,8503,User8,192.168.1.30,40ms,40.0,1.0,"[40.0,1.0]",1,14.416869436264353
3093,2023-11-20T08:41:33.621+03:00,INFO,ServiceB,Startup Messages,2372,User83,192.168.1.80,100ms,100.0,2.0,"[100.0,2.0]",0,14.012196211393347
3102,2023-11-20T08:41:33.752+03:00,WARNING,ServiceA,Performance Warnings,7810,User100,192.168.1.221,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
3149,2023-11-20T08:41:34.428+03:00,FATAL,ServiceC,Crashes,4491,User68,192.168.1.117,100ms,100.0,4.0,"[100.0,4.0]",0,14.208104474649751
3159,2023-11-20T08:41:34.573+03:00,ERROR,ServiceD,Critical Errors,3225,User67,192.168.1.213,40ms,40.0,3.0,"[40.0,3.0]",1,14.470426730165691
3237,2023-11-20T08:41:35.717+03:00,FATAL,ServiceD,Crashes,2215,User84,192.168.1.113,11ms,11.0,4.0,"[11.0,4.0]",1,14.790035105471722
3281,2023-11-20T08:41:36.331+03:00,INFO,ServiceB,Status Updates,2915,User11,192.168.1.41,41ms,41.0,2.0,"[41.0,2.0]",1,15.408677132707334
3298,2023-11-20T08:41:36.563+03:00,ERROR,ServiceC,Database Errors,4856,User34,192.168.1.100,12ms,12.0,3.0,"[12.0,3.0]",1,13.666719417914823
3341,2023-11-20T08:41:37.195+03:00,DEBUG,ServiceA,File I/O,4218,User85,192.168.1.118,11ms,11.0,1.0,"[11.0,1.0]",1,14.609053710110219
3371,2023-11-20T08:41:37.619+03:00,ERROR,ServiceB,Database Errors,5236,User3,192.168.1.154,72ms,72.0,3.0,"[72.0,3.0]",0,14.0611103188635
3372,2023-11-20T08:41:37.635+03:00,DEBUG,ServiceB,Trace Information,9871,User37,192.168.1.65,72ms,72.0,1.0,"[72.0,1.0]",0,14.006649610212765
3402,2023-11-20T08:41:38.097+03:00,ERROR,ServiceC,Database Errors,3084,User19,192.168.1.115,71ms,71.0,3.0,"[71.0,3.0]",2,14.533624845030541
3411,2023-11-20T08:41:38.224+03:00,ERROR,ServiceC,Critical Errors,7406,User12,192.168.1.232,42ms,42.0,3.0,"[42.0,3.0]",2,14.599847398701884
3414,2023-11-20T08:41:38.272+03:00,INFO,ServiceA,Status Updates,4983,User71,192.168.1.43,71ms,71.0,2.0,"[71.0,2.0]",2,14.47206700666456
3474,2023-11-20T08:41:39.124+03:00,ERROR,ServiceB,Database Errors,9917,User88,192.168.1.129,41ms,41.0,3.0,"[41.0,3.0]",1,15.466120835083961
3523,2023-11-20T08:41:39.848+03:00,ERROR,ServiceD,Critical Errors,4832,User65,192.168.1.143,71ms,71.0,3.0,"[71.0,3.0]",2,14.533624845030541
3524,2023-11-20T08:41:39.864+03:00,ERROR,ServiceC,Database Errors,4633,User53,192.168.1.77,42ms,42.0,3.0,"[42.0,3.0]",2,14.599847398701884
3534,2023-11-20T08:41:40.008+03:00,WARNING,ServiceB,Input Validation Warnings,2845,User46,192.168.1.238,72ms,72.0,0.0,"[72.0,0.0]",0,14.086232223532498
3539,2023-11-20T08:41:40.086+03:00,FATAL,ServiceA,Data Corruption,2920,User58,192.168.1.62,41ms,41.0,4.0,"[41.0,4.0]",1,15.587637934941215
3545,2023-11-20T08:41:40.166+03:00,DEBUG,ServiceD,Algorithm Steps,1598,User93,192.168.1.77,41ms,41.0,1.0,"[41.0,1.0]",1,15.416023101780098
3650,2023-11-20T08:41:41.650+03:00,DEBUG,ServiceC,Trace Information,9298,User89,192.168.1.183,71ms,71.0,1.0,"[71.0,1.0]",2,14.479474982011219
3672,2023-11-20T08:41:41.982+03:00,ERROR,ServiceC,Critical Errors,9686,User1,192.168.1.16,100ms,100.0,3.0,"[100.0,3.0]",0,14.075011108861483
3713,2023-11-20T08:41:42.548+03:00,INFO,ServiceD,Status Updates,8983,User46,192.168.1.127,10ms,10.0,2.0,"[10.0,2.0]",1,15.60097333751843
3716,2023-11-20T08:41:42.596+03:00,DEBUG,ServiceB,File I/O,5385,User37,192.168.1.158,42ms,42.0,1.0,"[42.0,1.0]",2,14.545944063001961
3778,2023-11-20T08:41:43.525+03:00,WARNING,ServiceA,Input Validation Warnings,5495,User13,192.168.1.243,71ms,71.0,0.0,"[71.0,0.0]",2,14.555743473419305
3785,2023-11-20T08:41:43.630+03:00,DEBUG,ServiceB,Algorithm Steps,7444,User11,192.168.1.162,40ms,40.0,1.0,"[40.0,1.0]",1,14.416869436264353
3849,2023-11-20T08:41:44.538+03:00,ERROR,ServiceD,Database Errors,2063,User93,192.168.1.209,12ms,12.0,3.0,"[12.0,3.0]",1,13.666719417914823
3889,2023-11-20T08:41:45.129+03:00,INFO,ServiceC,Status Updates,1553,User99,192.168.1.58,11ms,11.0,2.0,"[11.0,2.0]",1,14.601301757387434
3928,2023-11-20T08:41:45.690+03:00,INFO,ServiceA,Startup Messages,7035,User55,192.168.1.163,100ms,100.0,2.0,"[100.0,2.0]",0,14.012196211393347
3930,2023-11-20T08:41:45.721+03:00,WARNING,ServiceC,Input Validation Warnings,5935,User61,192.168.1.31,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
4024,2023-11-20T08:41:47.107+03:00,WARNING,ServiceA,Input Validation Warnings,1177,User94,192.168.1.17,71ms,71.0,0.0,"[71.0,0.0]",2,14.555743473419305
4087,2023-11-20T08:41:47.986+03:00,FATAL,ServiceA,Data Corruption,5714,User60,192.168.1.233,41ms,41.0,4.0,"[41.0,4.0]",1,15.587637934941215
4102,2023-11-20T08:41:48.187+03:00,WARNING,ServiceA,Input Validation Warnings,7360,User77,192.168.1.43,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
4133,2023-11-20T08:41:48.674+03:00,WARNING,ServiceD,Performance Warnings,7068,User29,192.168.1.147,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
4182,2023-11-20T08:41:49.391+03:00,FATAL,ServiceC,Data Corruption,4713,User76,192.168.1.198,40ms,40.0,4.0,"[40.0,4.0]",1,14.600233301509055
4235,2023-11-20T08:41:50.124+03:00,ERROR,ServiceD,Database Errors,6738,User47,192.168.1.105,71ms,71.0,3.0,"[71.0,3.0]",2,14.533624845030541
4296,2023-11-20T08:41:51.028+03:00,DEBUG,ServiceC,Algorithm Steps,3987,User30,192.168.1.92,72ms,72.0,1.0,"[72.0,1.0]",0,14.006649610212765
4310,2023-11-20T08:41:51.255+03:00,ERROR,ServiceA,Critical Errors,5945,User15,192.168.1.20,100ms,100.0,3.0,"[100.0,3.0]",0,14.075011108861483
4316,2023-11-20T08:41:51.331+03:00,WARNING,ServiceD,Resource Warnings,7829,User40,192.168.1.218,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
4356,2023-11-20T08:41:51.918+03:00,INFO,ServiceA,Startup Messages,4081,User63,192.168.1.69,11ms,11.0,2.0,"[11.0,2.0]",1,14.601301757387434
4396,2023-11-20T08:41:52.484+03:00,WARNING,ServiceB,Input Validation Warnings,8936,User84,192.168.1.98,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
4405,2023-11-20T08:41:52.610+03:00,DEBUG,ServiceA,Algorithm Steps,2067,User14,192.168.1.4,42ms,42.0,1.0,"[42.0,1.0]",2,14.545944063001961
4415,2023-11-20T08:41:52.748+03:00,FATAL,ServiceC,Data Corruption,9855,User32,192.168.1.73,72ms,72.0,4.0,"[72.0,4.0]",0,14.194334026196428
4439,2023-11-20T08:41:53.099+03:00,DEBUG,ServiceD,Algorithm Steps,6283,User98,192.168.1.11,11ms,11.0,1.0,"[11.0,1.0]",1,14.609053710110219
4531,2023-11-20T08:41:54.419+03:00,ERROR,ServiceD,Database Errors,5680,User43,192.168.1.169,72ms,72.0,3.0,"[72.0,3.0]",0,14.0611103188635
4546,2023-11-20T08:41:54.622+03:00,ERROR,ServiceD,Critical Errors,6886,User97,192.168.1.220,42ms,42.0,3.0,"[42.0,3.0]",2,14.599847398701884
4556,2023-11-20T08:41:54.754+03:00,DEBUG,ServiceC,SQL Queries,2526,User18,192.168.1.73,10ms,10.0,1.0,"[10.0,1.0]",1,15.608228803184579
4605,2023-11-20T08:41:55.457+03:00,INFO,ServiceB,Startup Messages,9432,User91,192.168.1.45,40ms,40.0,2.0,"[40.0,2.0]",1,14.409014090065062
4635,2023-11-20T08:41:55.900+03:00,WARNING,ServiceB,Resource Warnings,2742,User47,192.168.1.141,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
4639,2023-11-20T08:41:55.944+03:00,FATAL,ServiceC,Crashes,5583,User1,192.168.1.51,71ms,71.0,4.0,"[71.0,4.0]",2,14.663279947773933
4658,2023-11-20T08:41:56.214+03:00,ERROR,ServiceD,Critical Errors,2501,User31,192.168.1.216,72ms,72.0,3.0,"[72.0,3.0]",0,14.0611103188635
4725,2023-11-20T08:41:57.143+03:00,INFO,ServiceC,Startup Messages,6892,User45,192.168.1.231,40ms,40.0,2.0,"[40.0,2.0]",1,14.409014090065062
4758,2023-11-20T08:41:57.616+03:00,ERROR,ServiceB,Database Errors,9381,User13,192.168.1.107,12ms,12.0,3.0,"[12.0,3.0]",1,13.666719417914823
4914,2023-11-20T08:41:59.864+03:00,DEBUG,ServiceD,Algorithm Steps,8464,User54,192.168.1.89,41ms,41.0,1.0,"[41.0,1.0]",1,15.416023101780098
4924,2023-11-20T08:42:00.016+03:00,FATAL,ServiceA,Data Corruption,8659,User7,192.168.1.222,100ms,100.0,4.0,"[100.0,4.0]",0,14.208104474649751
4957,2023-11-20T08:42:00.510+03:00,ERROR,ServiceC,Database Errors,4647,User90,192.168.1.123,11ms,11.0,3.0,"[11.0,3.0]",1,14.661909006527276
5022,2023-11-20T08:42:01.496+03:00,INFO,ServiceC,Status Updates,5225,User91,192.168.1.207,72ms,72.0,2.0,"[72.0,2.0]",0,13.998233043897415
5025,2023-11-20T08:42:01.552+03:00,INFO,ServiceD,Status Updates,6337,User40,192.168.1.143,71ms,71.0,2.0,"[71.0,2.0]",2,14.47206700666456
5028,2023-11-20T08:42:01.600+03:00,DEBUG,ServiceC,Algorithm Steps,1960,User49,192.168.1.183,41ms,41.0,1.0,"[41.0,1.0]",1,15.416023101780098
5043,2023-11-20T08:42:01.816+03:00,INFO,ServiceA,Startup Messages,8773,User66,192.168.1.53,11ms,11.0,2.0,"[11.0,2.0]",1,14.601301757387434
5097,2023-11-20T08:42:02.559+03:00,INFO,ServiceB,Status Updates,5022,User68,192.168.1.3,10ms,10.0,2.0,"[10.0,2.0]",1,15.60097333751843
5120,2023-11-20T08:42:02.908+03:00,ERROR,ServiceC,Database Errors,9998,User90,192.168.1.194,41ms,41.0,3.0,"[41.0,3.0]",1,15.466120835083961
5123,2023-11-20T08:42:02.948+03:00,INFO,ServiceD,Status Updates,8830,User28,192.168.1.43,42ms,42.0,2.0,"[42.0,2.0]",2,14.538569956315584
5147,2023-11-20T08:42:03.295+03:00,INFO,ServiceC,Status Updates,8923,User93,192.168.1.113,41ms,41.0,2.0,"[41.0,2.0]",1,15.408677132707334
5274,2023-11-20T08:42:05.150+03:00,FATAL,ServiceD,Crashes,5058,User61,192.168.1.107,43ms,43.0,4.0,"[43.0,4.0]",2,13.743163551878908
